['Round', 'Choice', 'Action', 'Outcome']
['Round 217', 'door3', 'switch', 'win']
['Round 218', 'door2', 'switch', 'win']
['Round 219', 'door2', 'switch', 'win']
['Round 220', 'door1', 'switch', 'lose']
['Round 221', 'door2', 'switch', 'win']
['Round 222', 'door3', 'switch', 'lose']
['Round 223', 'door3', 'switch', 'win']
['Round 224', 'door2', 'switch', 'win']
['Round 225', 'door2', 'switch', 'win']
['Round 226', 'door3', 'switch', 'win']
['Round 227', 'door2', 'switch', 'win']
['Round 228', 'door3', 'switch', 'win']
['Round 229', 'door3', 'switch', 'lose']
['Round 230', 'door2', 'switch', 'win']
['Round 231', 'door2', 'switch', 'win']
['Round 232', 'door1', 'switch', 'win']
['Round 233', 'door3', 'switch', 'win']
['Round 234', 'door1', 'switch', 'win']
['Round 235', 'door1', 'switch', 'win']
['Round 236', 'door2', 'switch', 'win']
['Round 237', 'door1', 'switch', 'win']
['Round 238', 'door3', 'switch', 'lose']
['Round 239', 'door3', 'switch', 'win']
['Round 240', 'door1', 'switch', 'win']
['Round 241', 'door2', 'switch', 'lose']
['Round 242', 'door1', 'switch', 'lose']
['Round 243', 'door2', 'switch', 'win']
['Round 244', 'door3', 'switch', 'win']
['Round 245', 'door3', 'switch', 'win']
['Round 246', 'door3', 'switch', 'win']
['Round 247', 'door1', 'switch', 'win']
['Round 248', 'door3', 'switch', 'win']
['Round 249', 'door3', 'switch', 'lose']
['Round 250', 'door3', 'switch', 'win']
['Round 251', 'door1', 'switch', 'lose']
['Round 252', 'door1', 'switch', 'win']
['Round 253', 'door3', 'switch', 'lose']
['Round 254', 'door1', 'switch', 'win']
['Round 255', 'door2', 'switch', 'lose']
['Round 256', 'door3', 'switch', 'win']
['Round 257', 'door1', 'switch', 'win']
['Round 258', 'door3', 'switch', 'win']
['Round 259', 'door1', 'switch', 'lose']
['Round 260', 'door1', 'switch', 'lose']
['Round 261', 'door2', 'switch', 'win']
['Round 262', 'door3', 'switch', 'win']
['Round 263', 'door2', 'switch', 'win']
['Round 264', 'door2', 'switch', 'win']
['Round 265', 'door1', 'switch', 'win']
['Round 266', 'door1', 'switch', 'lose']
['Round 267', 'door2', 'switch', 'win']
['Round 268', 'door3', 'switch', 'win']
['Round 269', 'door3', 'switch', 'win']
['Round 270', 'door3', 'switch', 'lose']
['Round 271', 'door3', 'switch', 'win']
['Round 272', 'door1', 'switch', 'win']
['Round 273', 'door3', 'switch', 'win']
['Round 274', 'door2', 'switch', 'win']
['Round 275', 'door2', 'switch', 'win']
['Round 276', 'door1', 'switch', 'win']
['Round 277', 'door1', 'switch', 'lose']
['Round 278', 'door2', 'switch', 'win']
['Round 279', 'door3', 'switch', 'win']
['Round 280', 'door1', 'switch', 'lose']
['Round 281', 'door1', 'switch', 'win']
['Round 282', 'door1', 'switch', 'lose']
['Round 283', 'door1', 'switch', 'lose']
['Round 284', 'door1', 'switch', 'lose']
['Round 285', 'door1', 'switch', 'win']
['Round 286', 'door2', 'switch', 'win']
['Round 287', 'door3', 'switch', 'lose']
['Round 288', 'door1', 'switch', 'lose']
['Round 289', 'door2', 'switch', 'win']
['Round 290', 'door2', 'switch', 'win']
['Round 291', 'door3', 'switch', 'win']
['Round 292', 'door3', 'switch', 'lose']
['Round 293', 'door3', 'switch', 'win']
['Round 294', 'door3', 'switch', 'lose']
['Round 295', 'door1', 'switch', 'win']
['Round 296', 'door2', 'switch', 'lose']
['Round 297', 'door3', 'switch', 'lose']
['Round 298', 'door3', 'switch', 'lose']
['Round 299', 'door2', 'switch', 'lose']
['Round 300', 'door1', 'switch', 'lose']
['Round 301', 'door1', 'switch', 'win']
['Round 302', 'door2', 'switch', 'win']
['Round 303', 'door1', 'switch', 'lose']
['Round 304', 'door1', 'switch', 'win']
['Round 305', 'door2', 'switch', 'win']
['Round 306', 'door1', 'switch', 'win']
['Round 307', 'door3', 'switch', 'win']
['Round 308', 'door3', 'switch', 'win']
['Round 309', 'door3', 'switch', 'win']
['Round 310', 'door3', 'switch', 'win']
['Round 311', 'door3', 'switch', 'lose']
['Round 312', 'door1', 'switch', 'win']
['Round 313', 'door1', 'switch', 'win']
['Round 314', 'door1', 'switch', 'win']
['Round 315', 'door1', 'switch', 'win']
['Round 316', 'door3', 'switch', 'win']
['Round 317', 'door2', 'switch', 'win']
['Round 318', 'door2', 'switch', 'win']
['Round 319', 'door2', 'switch', 'lose']
['Round 320', 'door1', 'switch', 'win']
['Round 321', 'door3', 'switch', 'lose']
['Round 322', 'door1', 'switch', 'lose']
['Round 323', 'door3', 'switch', 'win']
['Round 324', 'door2', 'switch', 'win']
['Round 325', 'door1', 'switch', 'lose']
['Round 326', 'door3', 'switch', 'lose']
['Round 327', 'door3', 'switch', 'win']
['Round 328', 'door3', 'switch', 'win']
['Round 329', 'door3', 'switch', 'lose']
['Round 330', 'door2', 'switch', 'win']
['Round 331', 'door2', 'switch', 'lose']
['Round 332', 'door3', 'switch', 'lose']
['Round 333', 'door2', 'switch', 'win']
['Round 334', 'door2', 'switch', 'win']
['Round 335', 'door2', 'switch', 'win']
['Round 336', 'door3', 'switch', 'win']
['Round 337', 'door1', 'switch', 'win']
['Round 338', 'door2', 'switch', 'win']
['Round 339', 'door2', 'switch', 'win']
['Round 340', 'door3', 'switch', 'win']
['Round 341', 'door3', 'switch', 'win']
['Round 342', 'door2', 'switch', 'win']
['Round 343', 'door1', 'switch', 'win']
['Round 344', 'door1', 'switch', 'win']
['Round 345', 'door2', 'switch', 'win']
['Round 346', 'door3', 'switch', 'win']
['Round 347', 'door2', 'switch', 'win']
['Round 348', 'door3', 'switch', 'win']
['Round 349', 'door3', 'switch', 'lose']
['Round 350', 'door1', 'switch', 'win']
['Round 351', 'door1', 'switch', 'lose']
['Round 352', 'door3', 'switch', 'win']
['Round 353', 'door2', 'switch', 'lose']
['Round 354', 'door3', 'switch', 'win']
['Round 355', 'door3', 'switch', 'lose']
['Round 356', 'door1', 'switch', 'win']
['Round 357', 'door2', 'switch', 'win']
['Round 358', 'door1', 'switch', 'win']
['Round 359', 'door1', 'switch', 'win']
['Round 360', 'door2', 'switch', 'win']
['Round 361', 'door2', 'switch', 'lose']
['Round 362', 'door3', 'switch', 'win']
['Round 363', 'door3', 'switch', 'win']
['Round 364', 'door3', 'switch', 'win']
['Round 365', 'door2', 'switch', 'lose']
['Round 366', 'door1', 'switch', 'win']
['Round 367', 'door3', 'switch', 'win']
['Round 368', 'door1', 'switch', 'win']
['Round 369', 'door2', 'switch', 'win']
['Round 370', 'door2', 'switch', 'lose']
['Round 371', 'door3', 'switch', 'lose']
['Round 372', 'door3', 'switch', 'win']
['Round 373', 'door1', 'switch', 'lose']
['Round 374', 'door3', 'switch', 'win']
['Round 375', 'door3', 'switch', 'win']
['Round 376', 'door3', 'switch', 'win']
['Round 377', 'door3', 'switch', 'lose']
['Round 378', 'door3', 'switch', 'win']
['Round 379', 'door2', 'switch', 'lose']
['Round 380', 'door1', 'switch', 'win']
['Round 381', 'door1', 'switch', 'lose']
['Round 382', 'door2', 'switch', 'lose']
['Round 383', 'door3', 'switch', 'lose']
['Round 384', 'door1', 'switch', 'win']
['Round 385', 'door3', 'switch', 'lose']
['Round 386', 'door2', 'switch', 'lose']
['Round 387', 'door2', 'switch', 'win']
['Round 388', 'door3', 'switch', 'lose']
['Round 389', 'door1', 'switch', 'win']
['Round 390', 'door2', 'switch', 'win']
['Round 391', 'door3', 'switch', 'lose']
['Round 392', 'door2', 'switch', 'lose']
['Round 393', 'door3', 'switch', 'win']
['Round 394', 'door2', 'switch', 'win']
['Round 395', 'door3', 'switch', 'lose']
['Round 396', 'door2', 'switch', 'win']
['Round 397', 'door1', 'switch', 'lose']
['Round 398', 'door2', 'switch', 'win']
['Round 399', 'door1', 'switch', 'lose']
['Round 400', 'door2', 'switch', 'win']
['Round 401', 'door3', 'switch', 'lose']
['Round 402', 'door2', 'switch', 'win']
['Round 403', 'door1', 'switch', 'lose']
['Round 404', 'door3', 'switch', 'lose']
['Round 405', 'door1', 'switch', 'win']
['Round 406', 'door3', 'switch', 'win']
['Round 407', 'door1', 'switch', 'win']
['Round 408', 'door2', 'switch', 'win']
['Round 409', 'door3', 'switch', 'win']
['Round 410', 'door1', 'switch', 'win']
['Round 411', 'door1', 'switch', 'win']
['Round 412', 'door2', 'switch', 'win']
['Round 413', 'door1', 'switch', 'win']
['Round 414', 'door3', 'switch', 'lose']
['Round 415', 'door3', 'switch', 'win']
['Round 416', 'door2', 'switch', 'win']
['Round 417', 'door1', 'switch', 'win']
['Round 418', 'door3', 'switch', 'lose']
['Round 419', 'door1', 'switch', 'lose']
['Round 420', 'door3', 'switch', 'win']
['Round 421', 'door3', 'switch', 'win']
['Round 422', 'door1', 'switch', 'lose']
['Round 423', 'door1', 'switch', 'win']
['Round 424', 'door1', 'switch', 'lose']
['Round 425', 'door2', 'switch', 'win']
['Round 426', 'door1', 'switch', 'win']
['Round 427', 'door3', 'switch', 'win']
['Round 428', 'door2', 'switch', 'lose']
['Round 429', 'door1', 'switch', 'win']
['Round 430', 'door1', 'switch', 'win']
['Round 431', 'door3', 'switch', 'win']
['Round 432', 'door1', 'switch', 'win']
['Round 433', 'door3', 'switch', 'win']
['Round 434', 'door1', 'switch', 'win']
['Round 435', 'door1', 'switch', 'lose']
['Round 436', 'door2', 'switch', 'win']
['Round 437', 'door3', 'switch', 'win']
['Round 438', 'door2', 'switch', 'lose']
['Round 439', 'door1', 'switch', 'win']
['Round 440', 'door2', 'switch', 'win']
['Round 441', 'door3', 'switch', 'lose']
['Round 442', 'door3', 'switch', 'win']
['Round 443', 'door1', 'switch', 'lose']
['Round 444', 'door1', 'switch', 'win']
['Round 445', 'door3', 'switch', 'win']
['Round 446', 'door2', 'switch', 'win']
['Round 447', 'door1', 'switch', 'win']
['Round 448', 'door1', 'switch', 'lose']
['Round 449', 'door1', 'switch', 'lose']
['Round 450', 'door2', 'switch', 'win']
['Round 451', 'door2', 'switch', 'lose']
['Round 452', 'door2', 'switch', 'lose']
['Round 453', 'door1', 'switch', 'win']
['Round 454', 'door2', 'switch', 'win']
['Round 455', 'door3', 'switch', 'lose']
['Round 456', 'door1', 'switch', 'win']
['Round 457', 'door2', 'switch', 'win']
['Round 458', 'door1', 'switch', 'win']
['Round 459', 'door1', 'switch', 'lose']
['Round 460', 'door3', 'switch', 'win']
['Round 461', 'door2', 'switch', 'lose']
['Round 462', 'door3', 'switch', 'lose']
