['Round 241', 'door2', 'stay', 'win']
['Round 242', 'door3', 'stay', 'win']
['Round 243', 'door1', 'stay', 'win']
['Round 244', 'door3', 'stay', 'lose']
['Round 245', 'door3', 'stay', 'lose']
['Round 246', 'door2', 'stay', 'lose']
['Round 247', 'door1', 'stay', 'win']
['Round 248', 'door3', 'stay', 'lose']
['Round 249', 'door2', 'stay', 'lose']
['Round 250', 'door3', 'stay', 'lose']
['Round 251', 'door1', 'stay', 'lose']
['Round 252', 'door2', 'stay', 'win']
['Round 253', 'door2', 'stay', 'win']
['Round 254', 'door3', 'stay', 'win']
['Round 255', 'door3', 'stay', 'lose']
['Round 256', 'door1', 'stay', 'win']
['Round 257', 'door1', 'stay', 'lose']
['Round 258', 'door2', 'stay', 'lose']
['Round 259', 'door3', 'stay', 'win']
['Round 260', 'door3', 'stay', 'win']
['Round 261', 'door2', 'stay', 'lose']
['Round 262', 'door3', 'stay', 'win']
['Round 263', 'door3', 'stay', 'win']
['Round 264', 'door2', 'stay', 'lose']
['Round 265', 'door2', 'stay', 'win']
['Round 266', 'door1', 'stay', 'win']
['Round 267', 'door2', 'stay', 'lose']
['Round 268', 'door1', 'stay', 'lose']
['Round 269', 'door2', 'stay', 'win']
['Round 270', 'door1', 'stay', 'lose']
['Round 271', 'door1', 'stay', 'lose']
['Round 272', 'door2', 'stay', 'win']
['Round 273', 'door3', 'stay', 'win']
['Round 274', 'door2', 'stay', 'win']
['Round 275', 'door2', 'stay', 'lose']
['Round 276', 'door3', 'stay', 'lose']
['Round 277', 'door3', 'stay', 'win']
['Round 278', 'door1', 'stay', 'lose']
['Round 279', 'door3', 'stay', 'lose']
['Round 280', 'door3', 'stay', 'win']
['Round 281', 'door2', 'stay', 'lose']
['Round 282', 'door3', 'stay', 'win']
['Round 283', 'door1', 'stay', 'lose']
['Round 284', 'door3', 'stay', 'lose']
['Round 285', 'door1', 'stay', 'win']
['Round 286', 'door1', 'stay', 'lose']
['Round 287', 'door3', 'stay', 'win']
['Round 288', 'door3', 'stay', 'lose']
['Round 289', 'door3', 'stay', 'win']
['Round 290', 'door3', 'stay', 'win']
['Round 291', 'door2', 'stay', 'lose']
['Round 292', 'door1', 'stay', 'lose']
['Round 293', 'door3', 'stay', 'lose']
['Round 294', 'door3', 'stay', 'lose']
['Round 295', 'door3', 'stay', 'lose']
['Round 296', 'door2', 'stay', 'lose']
['Round 297', 'door3', 'stay', 'lose']
